minutes,mm_per_h
0,3.5
60,0.5
120,9.4
180,1.2
240,4.3
300,3.3
360,3.8
420,3.0
480,1.7
540,1.9
600,1.1
660,1.7
720,1.3
780,2.3
840,1.4
900,1.3
960,0.2
1020,0.5
1080,2.3
1140,1.4
1200,2.2
1260,1.6
1320,1.8
1380,1.9
1440,2.9
1500,2.5
1560,3.2
1620,2.8
1680,1.2
1740,3.4
1800,6.5
1860,11.5
1920,14.5
1980,14.4
2040,12.1
2100,9.4
2160,8.9
2220,7.1
2280,7.7
2340,9.3
2400,16.5
2460,15.8
2520,7.6
2580,8.5
2640,7.8
2700,9.5
2760,5.2
2820,3.5
2880,0
